Recommandation irrigation
"2025-06-18  Faible précipitation (0.7 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.6 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.5 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.4 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.4 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.3 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.3 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.3 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.2 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.2 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.3 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.3 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.3 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.4 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.5 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.5 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.6 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.7 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.8 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (0.9 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (1.1 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (1.2 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (1.3 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
"2025-06-18  Faible précipitation (1.4 mm) : irrigation nécessaire, privilégier micro-irrigation ou goutte-à-goutte."
